Rank,Artist,id,album_id
113,Japandroids,2WcCoPxAWFNSCvsFPrpf30,2sY9WYVH022ulyAYaqvXLW
112,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,4m2880jivSbbyEGAKfITCa
111,EMA,0MT8Af4BlhE02l91O6cfyQ,6S6Mlvc34kyGllnR4EF75o
110,Waka Flocka Flame,6f4XkbvYlXMH0QgVRzW0sM,6MQtWELG7aRX7CkAzQ6nLM
109,Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,6icpwcJQWK4nq9Xilk4yRu
108,Kaytranada,6qgnBH6iDM91ipVXv28OMu,1dZZh7PvVgce1DDsDPzy8Z
107,Dirty Projectors,5VF0YkVLeVD4ytyiyVSIiF,5zQgu9qi6mK8KuleuzM22C
106,Moses Sumney,5W10uJRsbt9bROJDKoI1Wn,30WjNaR79shSTGB52IJTw0
105,Disclosure,6nS5roXSAGhTGr34W6n7Et,1lM5IfaqcIsXd6UCV3aDSs
104,Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,3OZKwBjWkgCTD1QiriMhuY
103,Helado Negro,69qhRLDvsWJOhWGXXQ0lQQ,17LsQV3q3cgTBrat3D5JSv
102,Jeremih,3KV3p5EY4AvKxOlhGHORLg,7DMyQuDPe8xzjC0UDSDa96
101,Chromatics,4tOVIRjlWWfR1RrAxyRqTE,2Fp5KBgyC0ac2oitVlsJhY
100,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3tx8gQqWbGwqIGZHqDNrGe
99,Bad Bunny,4q3ewBCX7sLwd24euuV69X,7CjJb2mikwAWA1V6kewFBF
98,Todd Terje,49gaZqfow2v8EEQmjGyEIw,4pefQ21iSk8hdnxw3WSB5Y
97,The War on Drugs,6g0mn3tzAds6aVeUYRsryU,14xxjLlbGy8ACm4MorBjD5
96,Low,0wz0jO9anccPzH04N7FLBH,1zTkgOHx3mjrUvrhxq4osf
95,Jai Paul,53wZLCnhshZKDRs3uopFBc,6Wsai43KQmmKlN29AWlXFr
94,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,23dMwCv6redn6pcyliSlGk
93,Tirzah,6f5lOlSFJw9K79gaNnmWAd,15GocbF7ybkkPP03YXtLqv
92,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,2P2Xwvh2xWXIZ1OWY9S9o5
91,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,1PgfRdl3lPyACfUGH4pquG
90,Joyce Manor,7qbvNcfTfckhCNM8NiR8nN,6cPoZUF1MLvQvXkfDGHwsf
89,Caribou,4aEnNH9PuU1HF3TsZTru54,5r4nz5LZHeGUcZCrWbfWkx
88,Jenny Hval,5eerVxtb9lY9p6D7m89Bs7,3AeAZfwBgnhmbNEowNFvcB
87,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,6eDx949ONWDCN0O22wFZf7
86,Haim,4Ui2kfOqGujY81UcPrb5KE,729Vh0HApsm7hGDVjbmtrf
85,Jessica Pratt,5KTykbPcDB4GYS49jcHbWh,4plpT2Idnip2akI8c9LQP7
84,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,2VBcztE58pBKjIDS5oEgFh
83,Burial,0uCCBpmg6MrPb1KY2msceF,1yVoIc4Hhkhi9ovIcFVLmq
82,Girls,6eO95BjZhrWHREMfwC4vVN,66wRO7SK0Wo1KS40en2tua
81,Solange,2auiVi8sUZo17dLy1HwrTU,4WF4HvVT7VjGnVjxjoCR6w
